window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
25,2019-09-17 06:57:00,2020-05-17 06:51:00,2020-05-17 06:57:00,2020-06-17 06:51:00,2020-07-17 06:57:00,2020-08-17 06:54:00,42726,5219,5470,0.45841753482818604,32,0.2,0.001,0.7907578349113464,0.828596830368042,0.7143951058387756,0.7672697305679321,2.9306525360008755,2252,0.001301355477797902
26,2019-10-17 06:57:00,2020-06-17 06:51:00,2020-06-17 07:06:00,2020-07-17 06:27:00,2020-08-17 07:00:00,2020-09-17 06:42:00,42922,4664,5551,0.45333701372146606,32,0.2,0.001,0.7885631322860718,0.8058045506477356,0.7278334498405457,0.7648369669914246,3.100550526348154,2343,0.0013233250219155588
27,2019-11-17 06:57:00,2020-07-17 06:27:00,2020-07-17 06:57:00,2020-08-17 06:54:00,2020-09-17 07:09:00,2020-10-17 06:51:00,42515,5470,4910,0.45695939660072327,32,0.2,0.001,0.7907216548919678,0.771256148815155,0.7015967965126038,0.7347791790962219,1.5972645392601286,1823,0.000876173636456461
28,2019-12-17 07:18:00,2020-08-17 06:54:00,2020-08-17 07:00:00,2020-09-17 06:42:00,2020-10-17 06:57:00,2020-11-17 06:54:00,42974,5551,5789,0.4684731662273407,32,0.2,0.001,0.7788444757461548,0.847382128238678,0.7272148132324219,0.7827130556106567,4.138175331214356,2693,0.0015366414152299874
29,2020-01-17 07:00:00,2020-09-17 06:42:00,2020-09-17 07:09:00,2020-10-17 06:51:00,2020-11-17 06:57:00,2020-12-17 06:33:00,42999,4910,5858,0.4637541174888611,32,0.2,0.001,0.7792342305183411,0.8482807278633118,0.7374421954154968,0.7889878153800964,5.212741305511783,2821,0.0018478345641658217
30,2020-02-17 07:03:00,2020-10-17 06:51:00,2020-10-17 06:57:00,2020-11-17 06:54:00,2020-12-17 07:03:00,2021-01-17 06:39:00,42551,5789,6413,0.47247111797332764,32,0.2,0.001,0.7797890901565552,0.8548290133476257,0.7569721341133118,0.8029299974441528,10.249865449124723,3334,0.00307434476578426
31,2020-03-17 06:57:00,2020-11-17 06:54:00,2020-11-17 06:57:00,2020-12-17 06:33:00,2021-01-17 07:00:00,2021-02-17 06:54:00,43209,5858,6170,0.4624696671962738,32,0.2,0.001,0.7736497521400452,0.8387686610221863,0.7631725072860718,0.7991868853569031,7.964575944100549,3281,0.0024274842865286647
32,2020-04-17 07:00:00,2020-12-17 06:33:00,2020-12-17 07:03:00,2021-01-17 06:39:00,2021-02-17 06:57:00,2021-03-17 06:54:00,43125,6413,5717,0.47482600808143616,32,0.2,0.001,0.7668375372886658,0.8355134129524231,0.7579353451728821,0.7948359251022339,7.390066508011833,3058,0.0024166339136729342
33,2020-05-17 06:57:00,2021-01-17 06:39:00,2021-01-17 07:00:00,2021-02-17 06:54:00,2021-03-17 07:03:00,2021-04-17 06:54:00,43874,6170,5738,0.48651066422462463,32,0.2,0.001,0.7726312279701233,0.7899219393730164,0.7610256671905518,0.775204598903656,4.372647544425993,2818,0.0015516847212299477
34,2020-06-17 07:06:00,2021-02-17 06:54:00,2021-02-17 06:57:00,2021-03-17 06:54:00,2021-04-17 06:57:00,2021-05-17 06:51:00,44825,5717,5697,0.4857531785964966,32,0.2,0.001,0.7629945278167725,0.80756014585495,0.75175940990448,0.7786613702774048,5.935732586647556,2910,0.0020397706483324934
35,2020-07-17 06:57:00,2021-03-17 06:54:00,2021-03-17 07:03:00,2021-04-17 06:54:00,2021-05-17 07:15:00,2021-06-17 06:51:00,45878,5738,6192,0.4847499430179596,32,0.2,0.001,0.7682648301124573,0.8123324513435364,0.7751563191413879,0.7933090925216675,9.632382998917262,3357,0.0028693425674463095
36,2020-08-17 07:00:00,2021-04-17 06:54:00,2021-04-17 06:57:00,2021-05-17 06:51:00,2021-06-17 07:00:00,2021-07-17 06:42:00,46146,5697,5657,0.48996207118034363,32,0.2,0.001,0.7739860415458679,0.8041811585426331,0.7665227651596069,0.7849005460739136,5.5047660164199455,2870,0.0019180369395191447
37,2020-09-17 07:09:00,2021-05-17 06:51:00,2021-05-17 07:15:00,2021-06-17 06:51:00,2021-07-17 06:57:00,2021-08-17 06:48:00,46292,6192,6044,0.49061721563339233,32,0.2,0.001,0.7723930478096008,0.8003742694854736,0.7804136276245117,0.7902679443359375,5.080433807502048,3206,0.001584664319245804
38,2020-10-17 06:57:00,2021-06-17 06:51:00,2021-06-17 07:00:00,2021-07-17 06:42:00,2021-08-17 06:57:00,2021-09-17 06:51:00,47574,5657,5805,0.4808412194252014,32,0.2,0.001,0.7700608968734741,0.7865517139434814,0.7646664381027222,0.7754546999931335,3.961961028824921,2900,0.00136619345821549
39,2020-11-17 06:57:00,2021-07-17 06:42:00,2021-07-17 06:57:00,2021-08-17 06:48:00,2021-09-17 06:57:00,2021-10-17 06:51:00,47442,6044,5777,0.48336246609687805,32,0.2,0.001,0.7776805758476257,0.8069705367088318,0.7760232090950012,0.7911943197250366,4.839977576347065,2984,0.0016219763995801158
40,2020-12-17 07:03:00,2021-08-17 06:48:00,2021-08-17 06:57:00,2021-09-17 06:51:00,2021-10-17 07:06:00,2021-11-17 06:51:00,47628,5805,5861,0.48444899916648865,32,0.2,0.001,0.7898638248443604,0.8091525435447693,0.784423291683197,0.7965960502624512,4.138977567573423,2950,0.001403043243245228
41,2021-01-17 07:00:00,2021-09-17 06:51:00,2021-09-17 06:57:00,2021-10-17 06:51:00,2021-11-17 07:00:00,2021-12-17 06:48:00,47020,5777,5669,0.4722139239311218,32,0.2,0.001,0.7835621237754822,0.8019067645072937,0.7766757607460022,0.7890896201133728,4.835269978210454,2832,0.0017073693425884373
